Datasett hentet fra;https://hnygard.github.io/sivilombudsmannen-uttalelser/;@hallny / Norske-postlister.no;Kilde;https://www.sivilombudsmannen.no/uttalelser/;Data hentet;13.03.2020 00:10:18
Dato - uttalelse;Dato - publisert;Saksnummer;Lenke uttalelse;Lovreferanse;Tittel
27.01.2020;30.01.2020;SM-2019/2174;https://www.sivilombudsmannen.no/uttalelser/behandling-av-innsynskrav-fremmet-overfor-direktorene-i-de-tidligere-tollregionene/;forvaltningsloven § 11, forvaltningsloven § 41, offentleglova § 11, offentleglova § 14, offentleglova § 28 andre ledd, offentleglova § 29, offentleglova § 29 første ledd;Behandling av innsynskrav fremmet overfor direktørene i de tidligere tollregionene
16.01.2020;28.01.2020;SM-2019/3515;https://www.sivilombudsmannen.no/uttalelser/skriftlighet-i-ansettelsessaker-i-stavanger-kommune/;forvaltningsloven § 24, forvaltningsloven § 25;Skriftlighet i ansettelsessaker i Stavanger kommune
14.01.2020;21.01.2020;SM-2019/4150;https://www.sivilombudsmannen.no/uttalelser/frogn-kommunes-saksbehandlingstid-og-rutiner-i-byggesaker/;forvaltningsloven § 11, plan- og bygningsloven § 1-4 første ledd;Frogn kommunes saksbehandlingstid og rutiner i byggesaker
18.12.2019;20.01.2020;SM-2019/1273;https://www.sivilombudsmannen.no/uttalelser/valget-av-naermeste-parorende-etter-pasient-og-brukerrettighetsloven/;helsepersonelloven § 23 nr. 4, helsepersonelloven § 31, pasient- og brukerrettighetsloven § 1-3 bokstav b, sivilombudsmannsloven § 11, vergemålsloven § 28 første ledd;Valget av nærmeste pårørende etter pasient- og brukerrettighetsloven
11.12.2019;20.01.2020;SM-2019/2410;https://www.sivilombudsmannen.no/uttalelser/bortvisning-av-elev-fra-videregaende-skole-pa-grunn-av-deltagelse-i-matkrig-i-skolens-kantine/;forvaltningsloven § 17, forvaltningsloven § 2 første ledd bokstav b, opplæringslova §, opplæringslova § 9, opplæringslova§ 9;Bortvisning av elev fra videregående skole på grunn av deltagelse i matkrig i skolens kantine
13.12.2019;15.01.2020;SM-2019/3284;https://www.sivilombudsmannen.no/uttalelser/uttalelse-likebehandling-ved-vurdering-av-merverdiavgift-pa-tilskudd-til-bedriftskantiner/;grunnloven § 97;Likebehandling ved vurdering av merverdiavgift på tilskudd til bedriftskantiner
13.12.2019;09.01.2020;SM-2019/994;https://www.sivilombudsmannen.no/uttalelser/landbruksfritaket-fra-eiendomsskatt/;eigedomsskattelova § 5, eigedomsskattelova § 5 bokstav h, eigedomsskattelova § 5 første ledd bokstav h, eigedomsskattelova §5, plan- og bygningsloven § 11-11;Landbruksfritaket fra eiendomsskatt
18.12.2019;07.01.2020;SM-2018/2412;https://www.sivilombudsmannen.no/uttalelser/voldsoffererstatningslovens-saklige-virkeomrade-kravet-til-straffbar-handling-som-krenker-livet-helsen-eller-friheten/;straffeprosessloven § 130, voldsoffererstatningsforskriften § 1, voldsoffererstatningsloven § 1, voldsoffererstatningsloven § 3 tredje ledd annet punktum;Voldsoffererstatningslovens saklige virkeområde – kravet til straffbar handling som krenker livet, helsen eller friheten
16.12.2019;20.12.2019;SM-2019/1030;https://www.sivilombudsmannen.no/uttalelser/saksbehandlingen-i-saker-om-spesialundervisning-i-bergen-kommune/;forvaltningsloven § 11;Saksbehandlingen i saker om spesialundervisning i Bergen kommune
11.12.2019;20.12.2019;SM-2019/1405;https://www.sivilombudsmannen.no/uttalelser/kommunens-behandling-av-krav-om-fast-stilling-ved-valg-mellom-flere-midlertidige-ansatte/;arbeidsmiljøloven § 14-9 syvende ledd;Kommunens behandling av krav om fast stilling ved valg mellom flere midlertidige ansatte
16.12.2019;20.12.2019;SM-2019/2187;https://www.sivilombudsmannen.no/uttalelser/refusjon-i-etterbetalt-ytelse/;folketrygdloven § 22-7, forvaltningsloven § 16, forvaltningsloven § 24, forvaltningsloven § 25, forvaltningsloven § 33 femte ledd, sosialtjenesteloven § 26, sosialtjenesteloven § 41;Refusjon i etterbetalt ytelse
19.11.2019;20.12.2019;SM-2019/4043;https://www.sivilombudsmannen.no/uttalelser/innsyn-i-dokumenter-om-lokalisering-av-eldreombud/;offentleglova §, offentleglova § 11, offentleglova § 14, offentleglova § 15, offentleglova§;Innsyn i dokumenter om lokalisering av eldreombud
08.12.2019;20.12.2019;SM-2019/3572;https://www.sivilombudsmannen.no/uttalelser/avslag-pa-krav-om-innsyn-i-internrevisjonsdokumenter/;offentleglova §, offentleglova § 11, offentleglova § 14, offentleglova § 14 første ledd, offentleglova § 15, offentleglova § 15 første ledd, offentleglova § 15 første ledd første punktum, offentleglova § 3;Avslag på krav om innsyn i internrevisjonsdokumenter
08.12.2019;20.12.2019;SM-2019/3621;https://www.sivilombudsmannen.no/uttalelser/innsyn-i-rapporter-fra-internrevisjonen-i-skattedirektoratet/;offentleglova § 11, offentleglova § 12, offentleglova § 15, offentleglova § 15 første ledd, offentleglova § 15 første ledd første punktum, offentleglova § 24, offentleglova § 24 tredje ledd, offentleglova § 3;Innsyn i rapporter fra internrevisjonen i Skattedirektoratet
08.12.2019;20.12.2019;SM-2019/3392;https://www.sivilombudsmannen.no/uttalelser/innsyn-i-rapporter-fra-internrevisjonen-i-tolletaten/;offentleglova § 11, offentleglova § 14, offentleglova § 15, offentleglova § 15 første ledd, offentleglova § 15 første ledd første punktum, offentleglova § 3;Innsyn i rapporter fra internrevisjonen i Tolletaten
17.12.2019;19.12.2019;SM-2019/3483;https://www.sivilombudsmannen.no/uttalelser/innsyn-i-sammenstilling-av-opplysninger-om-politiets-responstid/;offentleglova §, offentleglova § 29 første ledd, offentleglova § 9, politiregisterforskriften §, politiregisterforskriften § 53-8, politiregisterloven §, politiregisterloven § 19;Innsyn i sammenstilling av opplysninger om politiets responstid
14.12.2019;19.12.2019;SM-2019/1169;https://www.sivilombudsmannen.no/uttalelser/tolkningen-av-produktiv-skog-i-konsesjonsloven-%c2%a7-5-andre-ledd/;konsesjonsloven § 11, konsesjonsloven § 5, konsesjonsloven § 5 andre ledd, konsesjonsloven § 5 annet ledd, konsesjonsloven § 9, konsesjonsloven §5 andre ledd;Tolkningen av «produktiv skog» i konsesjonsloven § 5 andre ledd
14.12.2019;19.12.2019;SM-2018/3058;https://www.sivilombudsmannen.no/uttalelser/anleggsbidrag-ved-etablering-av-et-kommunalt-avlopsanlegg/;plan- og bygningsloven §, plan- og bygningsloven § 27-2, plan- og bygningsloven§ 27-1;Anleggsbidrag ved etablering av et kommunalt avløpsanlegg
10.12.2019;19.12.2019;SM-2018/3714;https://www.sivilombudsmannen.no/uttalelser/fylkesmannens-behandling-av-sak-om-pliktbrudd-i-kommunal-helsetjeneste/;helsepersonelloven § 55, omsorgstjenesteloven § 16, omsorgstjenesteloven § 3-4, omsorgstjenesteloven § 4-1, pasient- og brukerrettighetsloven § 7-4;Fylkesmannens behandling av sak om pliktbrudd i kommunal helsetjeneste
05.12.2019;18.12.2019;SM-2018/2714;https://www.sivilombudsmannen.no/uttalelser/udis-behandlingstid-som-skranke-for-adgangen-til-a-tidsbegrense-oppholdstillatelse-for-enslige-mindrearige-asylsokere-frem-til-fylte-18-ar-2/;forvaltningsloven § 11, grunnloven § 104, sivilombudsmannsloven § 10 annet ledd, utlendingsforskrift § 8-8, utlendingsforskrift § 8-8 annet ledd bokstav j, utlendingsforskriften § 21 tredje ledd, utlendingsforskriften § 8-8, utlendingsloven § 28, utlendingsloven § 38, utlendingsloven § 76 andre ledd, utlendingsloven § 76 annet ledd;UDIs behandlingstid som skranke for adgangen til å tidsbegrense oppholdstillatelse for enslige mindreårige asylsøkere frem til fylte 18 år
05.12.2019;18.12.2019;SM-2018/3865;https://www.sivilombudsmannen.no/uttalelser/udis-behandlingstid-som-skranke-for-adgangen-til-a-tidsbegrense-oppholdstillatelse-for-enslige-mindrearige-asylsokere-frem-til-fylte-18-ar/;forvaltningsloven § 11, grunnloven § 104, sivilombudsmannsloven § 10 annet ledd, utlendingsforskrift § 8-8, utlendingsforskriften § 21 tredje ledd, utlendingsforskriften § 8-8, utlendingsloven § 28, utlendingsloven § 38, utlendingsloven § 76 andre ledd;UDIs behandlingstid som skranke for adgangen til å tidsbegrense oppholdstillatelse for enslige mindreårige asylsøkere frem til fylte 18 år
10.12.2019;17.12.2019;SM-2019/3663;https://www.sivilombudsmannen.no/uttalelser/eget-tiltak-kemneren-i-grenlands-rutiner-ved-innkreving-for-kommunen/;inkassoforskriftens § 1-2, inkassoloven § 10, inkassoloven § 17, inkassoloven § 8, inkassoloven § 9, inkassoloven § 9 første ledd bokstav a, inkassolovens § 10, inkassolovens § 9, ombudsmannsloven § 10 annet ledd;Eget tiltak – Kemneren i Grenlands rutiner ved innkreving for kommunen
02.12.2019;17.12.2019;SM-2019/3809;https://www.sivilombudsmannen.no/uttalelser/sporsmal-om-innsyn-i-brev-fra-underordnet-organ/;offentleglova § 11, offentleglova § 15 første ledd, offentleglova § 3, offentleglova § 32 tredje ledd, sivilombudsmannsloven § 10 annet ledd siste punktum;Spørsmål om innsyn i brev fra underordnet organ
09.12.2019;17.12.2019;SM-2018/4453;https://www.sivilombudsmannen.no/uttalelser/saksbehandlingen-ved-trukket-klage/;forvaltningsloven § 11 annet ledd;Saksbehandlingen ved trukket klage
09.12.2019;17.12.2019;SM-2019/4447;https://www.sivilombudsmannen.no/uttalelser/saksbehandlingstiden-i-saker-om-frivillig-medlemskap-i-folketrygden/;;Saksbehandlingstiden i saker om frivillig medlemskap i folketrygden
06.12.2019;17.12.2019;SM-2019/3885;https://www.sivilombudsmannen.no/uttalelser/ansettelse-i-strid-med-krav-i-utlysningsteksten-3/;forvaltningsloven § 17 første ledd, forvaltningsloven § 2 annet ledd, opplæringsloven § 10-1, opplæringsloven § 10-9;Ansettelse i strid med krav i utlysningsteksten
06.12.2019;15.12.2019;SM-2019/1991;https://www.sivilombudsmannen.no/uttalelser/tilbakekall-av-forerett-pa-grunn-av-vandel/;forvaltningsloven § 41, vegtrafikkloven § 24 fjerde ledd, vegtrafikkloven § 34, vegtrafikkloven § 34 femte ledd;Tilbakekall av førerett på grunn av vandel
25.11.2019;11.12.2019;SM-2019/2249;https://www.sivilombudsmannen.no/uttalelser/beregning-av-foreldrestipend/;folketrygdlovens § 14-1, sivilombudsmannsloven § 10 annet ledd;Beregning av foreldrestipend
05.12.2019;11.12.2019;SM-2019/3186;https://www.sivilombudsmannen.no/uttalelser/innsyn-i-it-driftsmeldinger-mangelfull-klagebehandling/;forvaltningsloven § 17, forvaltningsloven § 33, offentleglova § 14, offentleglova § 3, offentleglova § 32, offentleglova § 32 første ledd første punktum, offentleglova § 4, sivilombudsmannsloven § 10 annet ledd;Innsyn i IT-driftsmeldinger – mangelfull klagebehandling
05.12.2019;09.12.2019;SM-2019/2154;https://www.sivilombudsmannen.no/uttalelser/innsyn-i-sammenstilling-av-opplysninger-hos-systemleverandor/;forvaltningsloven § 17, forvaltningsloven § 33 femte ledd, offentleglova §, offentleglova § 9;Innsyn i sammenstilling av opplysninger hos systemleverandør
18.11.2019;09.12.2019;SM-2019/2265;https://www.sivilombudsmannen.no/uttalelser/ansettelse-av-tolk/;forvaltningsloven § 2;Ansettelse av tolk
18.11.2019;05.12.2019;SM-2019/1191;https://www.sivilombudsmannen.no/uttalelser/oslo-statsadvokatembeters-begrunnelse-av-en-henleggelsesbeslutning/;straffeprosessloven § 59;Oslo statsadvokatembeters begrunnelse av en henleggelsesbeslutning
18.11.2019;04.12.2019;SM-2018/1950;https://www.sivilombudsmannen.no/uttalelser/fylkesmannens-behandling-av-pastand-om-pliktbrudd-i-forbindelse-med-tvangsinnleggelse-etter-psykisk-helsevernloven/;forvaltningsloven § 11, helsepersonelloven § 17, pasient- og brukerrettighetsloven §, pasient- og brukerrettighetsloven § 7-4, pasient- og brukerrettighetsloven§ 7-4, psykisk helsevernloven §, psykisk helsevernloven § 3-2, psykisk helsevernloven § 3-3, psykisk helsevernloven § 3-3 nr. 3, psykisk helsevernloven§ 3-2;Fylkesmannens behandling av påstand om pliktbrudd i forbindelse med tvangsinnleggelse etter psykisk helsevernloven
25.11.2019;03.12.2019;SM-2018/4579;https://www.sivilombudsmannen.no/uttalelser/vurdering-av-om-fallviltmannskap-i-x-kommune-er-oppdragstakere-eller-arbeidstakere/;arbeidsmiljøloven § 1-8, arbeidsmiljøloven § 14-5;Vurdering av om fallviltmannskap i x kommune er oppdragstakere eller arbeidstakere
18.11.2019;03.12.2019;SM-2019/3037;https://www.sivilombudsmannen.no/uttalelser/prioriteringskriterier-ved-tildeling-av-plasser-i-kommunale-barnehage/;barnehageloven § 12, barnehageloven § 7 fjerde ledd;Prioriteringskriterier ved tildeling av plasser i kommunale barnehage
25.11.2019;29.11.2019;SM-2019/3688;https://www.sivilombudsmannen.no/uttalelser/manglende-oppfolging-av-ulovlighetsvarsler/;forvaltningsloven § 1, forvaltningsloven § 11, plan- og bygningsloven § 1-4, plan- og bygningsloven § 1-4 første ledd, plan- og bygningsloven § 1-9, plan- og bygningsloven § 32-1;Manglende oppfølging av ulovlighetsvarsler
21.11.2019;29.11.2019;SM-2019/3643;https://www.sivilombudsmannen.no/uttalelser/delvis-avslag-pa-krav-om-innsyn-i-internrevisjonsrapport-fra-statens-vegvesen/;offentleglova § 11, offentleglova § 24, offentleglova § 24 første ledd, offentleglova § 5, offentleglova § 5 første ledd, sivilombudsmannsloven § 10 annet ledd siste punktum;Delvis avslag på krav om innsyn i internrevisjonsrapport fra Statens vegvesen
25.11.2019;29.11.2019;SM-2018/5025;https://www.sivilombudsmannen.no/uttalelser/sen-saksbehandling-i-saker-om-startlan-og-kommunal-bolig/;forvaltningsloven §, forvaltningsloven § 11, ombudsmannslovens § 7, sivilombudsmannen § 6 andre ledd, sivilombudsmannsinstruksen § 6 andre ledd, sivilombudsmannsloven § 3, sivilombudsmannsloven § 7 første ledd;Sen saksbehandling i saker om startlån og kommunal bolig
20.11.2019;27.11.2019;SM-2019/1123;https://www.sivilombudsmannen.no/uttalelser/fylkesmannens-kompetanse-etter-forvaltningsloven-%c2%a7-34/;forvaltningsloven § 34, forvaltningsloven § 35;Fylkesmannens kompetanse etter forvaltningsloven § 34
22.11.2019;27.11.2019;SM-2019/2512;https://www.sivilombudsmannen.no/uttalelser/avgift-pa-sjokolade-og-sukkervarer-mv-smakstilsatte-vitamintilskudd/;grunnloven § 75 bokstav a, særavgiftsforskriften § 3-17-1;Avgift på sjokolade- og sukkervarer mv. – smakstilsatte vitamintilskudd
24.10.2019;25.11.2019;SM-2018/4557, SM-2018/4740;https://www.sivilombudsmannen.no/uttalelser/parkeringstillatelse-for-forflytningshemmede-klagesaksforberedelse-begrunnelsesplikt-og-rettsanvendelse-2/;forskrift om parkeringstillatelse for forflytningshemmede § 3 første ledd, forvaltningsloven § 24, forvaltningsloven § 25, forvaltningsloven § 27 andre ledd, forvaltningsloven § 28 andre ledd, forvaltningsloven § 33, kommuneloven § 40 nr. 3 bokstav c første ledd, omsorgstjenesteloven § 5-5 andre ledd;Parkeringstillatelse for forflytningshemmede – klagesaksforberedelse, begrunnelsesplikt og rettsanvendelse
14.11.2019;18.11.2019;SM-2018/4760;https://www.sivilombudsmannen.no/uttalelser/dispensasjon-for-oppforing-av-hytte-fordel-ulempevurderingen/;naturmangfoldloven § 10, plan- og bygningsloven §, plan- og bygningsloven § 19-2 annet ledd, plan- og bygningsloven § 19-2 første ledd;Dispensasjon for oppføring av hytte – fordel-/ulempevurderingen
29.10.2019;11.11.2019;SM-2019/1750;https://www.sivilombudsmannen.no/uttalelser/manglende-ulovlighetsoppfolging-og-lang-saksbehandlingstid/;forvaltningsloven § 1, plan- og bygningsloven § 1-4 første ledd, plan- og bygningsloven § 1-9, plan- og bygningsloven § 32-1;Manglende ulovlighetsoppfølging og lang saksbehandlingstid
22.10.2019;05.11.2019;SM-2018/2278;https://www.sivilombudsmannen.no/uttalelser/tvangsmedisinering-beviskravet-for-manglende-samtykkekompetanse/;forvaltningsloven § 24, forvaltningsloven § 25, grunnloven § 92, pasient- og brukerrettighetsloven § 4-3, pasient- og brukerrettighetsloven § 4-3 andre ledd, psykisk helsevernloven § 2-1, psykisk helsevernloven § 4-4, straffeprosessloven § 167;Tvangsmedisinering – beviskravet for manglende samtykkekompetanse
28.10.2019;01.11.2019;SM-2019/1336;https://www.sivilombudsmannen.no/uttalelser/utlendingsdirektoratets-behandlingstid-i-sak-om-statsborgerskap-og-betydningen-av-departementets-instruks-om-berostillelse/;forvaltningsloven § 11, forvaltningsloven § 17, forvaltningsloven § 17 første ledd, grunnloven § 3, statsborgerloven § 17, statsborgerloven § 26 andre ledd, statsborgerloven § 26 annet ledd, statsborgerloven § 28 første ledd tredje punktum, utlendingsloven § 80;Utlendingsdirektoratets behandlingstid i sak om statsborgerskap og betydningen av departementets instruks om berostillelse
23.10.2019;30.10.2019;SM-2019/359;https://www.sivilombudsmannen.no/uttalelser/krav-om-tilbakebetaling-av-tilskudd-fra-privat-barnehage/;barnehageloven § 14;Krav om tilbakebetaling av tilskudd fra privat barnehage
21.10.2019;24.10.2019;SM-2019/1415;https://www.sivilombudsmannen.no/uttalelser/sporsmal-om-innsyn-i-it-driftsmeldinger-og-mangelfull-klagesaksbehandling/;forvaltningsloven § 13 første ledd, forvaltningsloven § 33 femte ledd, forvaltningsloven §13 første ledd, offentleglova § 13, offentleglova § 13 første ledd, offentleglova § 14, offentleglova § 14 første ledd, offentleglova § 3, offentleglova § 32, offentleglova § 32 første ledd første punktum, offentleglova § 4, sivilombudsmannsloven § 10 annet ledd;Spørsmål om innsyn i it-driftsmeldinger og mangelfull klagesaksbehandling
16.10.2019;23.10.2019;SM-2019/1708;https://www.sivilombudsmannen.no/uttalelser/saksbehandlingstiden-i-skatteklagenemnda-2/;forvaltningsloven § 13-6, skatteloven § 13-3 annet ledd;Saksbehandlingstiden i Skatteklagenemnda
02.10.2019;23.10.2019;SM-2019/108;https://www.sivilombudsmannen.no/uttalelser/innsyn-i-sak-om-anskaffelse-av-sak-og-arkivsystem/;forvaltningsloven § 13, forvaltningsloven § 13 første ledd, offentleglova §, offentleglova § 23 tredje ledd, offentleglova § 31, ombudsmannsloven § 10 andre ledd, sivilombudsmannsloven § 10 andre ledd;Innsyn i sak om anskaffelse av sak- og arkivsystem
15.10.2019;22.10.2019;SM-2019/561;https://www.sivilombudsmannen.no/uttalelser/avvisning-av-klage-etter-opplaeringslova-%c2%a7-9-a-6-annet-ledd/;opplæringslova § 9;Avvisning av klage etter opplæringslova § 9 a-6 annet ledd
10.10.2019;22.10.2019;SM-2018/4777;https://www.sivilombudsmannen.no/uttalelser/skriftlig-advarsel-i-arbeidsforhold-etter-ytring-pa-facebook/;grunnloven § 100, opplæringslova § 1-1;Skriftlig advarsel i arbeidsforhold etter ytring på Facebook
10.10.2019;17.10.2019;SM-2017/4127;https://www.sivilombudsmannen.no/uttalelser/fylkesmannens-avgjorelser-i-tilsynssak-beltelegging/;helsepersonelloven § 40, pasient- og brukerrettighetsloven § 7-4, psykisk helsevernloven §, psykisk helsevernloven§ 4-2, spesialisthelsetjenesteloven § 2-2;Fylkesmannens avgjørelser i tilsynssak – beltelegging
15.10.2019;16.10.2019;SM-2019/1296;https://www.sivilombudsmannen.no/uttalelser/gjeldsoppgjor-ved-gjenanskaffelse-av-leaset-kjoretoy/;folketrygdloven §, folketrygdloven§ 10-6;Gjeldsoppgjør ved gjenanskaffelse av leaset kjøretøy
09.10.2019;15.10.2019;SM-2019/589;https://www.sivilombudsmannen.no/uttalelser/dispensasjon-fra-eldre-reguleringsplaner/;forvaltningsloven § 34 annet ledd første punktum, plan- og bygningsloven § 1-8, plan- og bygningsloven § 19-2 annet ledd, plan- og bygningsloven § 19-2 første ledd;Dispensasjon fra eldre reguleringsplaner
27.09.2019;08.10.2019;SM-2019/2930;https://www.sivilombudsmannen.no/uttalelser/fylkesmannens-tilsynskompetanse-etter-barnehageloven/;barnehageloven § 8, barnehageloven § 9, kommuneloven § 19, sivilombudsmannen § 5;Fylkesmannens tilsynskompetanse etter barnehageloven
13.09.2019;03.10.2019;SM-2018/1308;https://www.sivilombudsmannen.no/uttalelser/oppholdstillatelse-pa-humanitaert-grunnlag-ved-langvarig-tvungent-psykisk-helsevern-betydningen-av-muligheten-for-progresjon-i-helsebehandlingen-og-for-avslutning-av-det-tvungne-vernet/;sivilombudsmannsloven § 10 annet ledd, utlendingsforskriften § 8-7, utlendingsloven § 38;Oppholdstillatelse på humanitært grunnlag ved langvarig tvungent psykisk helsevern – betydningen av muligheten for progresjon i helsebehandlingen og for avslutning av det tvungne vernet
03.09.2019;02.10.2019;SM-2018/2956;https://www.sivilombudsmannen.no/uttalelser/utlendingsdirektoratets-behandlingstid-i-sak-om-permanent-oppholdstillatelse/;forvaltningsloven § 11, forvaltningsloven § 17 første ledd, utlendingsloven § 63 første ledd;Utlendingsdirektoratets behandlingstid i sak om permanent oppholdstillatelse
24.09.2019;01.10.2019;SM-2017/3495;https://www.sivilombudsmannen.no/uttalelser/fratakelse-av-oppdrag-som-verge-for-mindrearig-utredning-og-vurdering-av-barnets-beste/;barneloven § 31, forvaltningsloven §, grunnloven §, grunnloven § 104, grunnloven § 104 første ledd, sivilombudsmannsloven § 10 andre ledd, utlendingsforskriften § 17-1, utlendingsloven § 88, utlendingsloven § 98, vergemålsloven § 17 fjerde ledd, vergemålsloven § 29 andre ledd, vergemålsloven § 29 annet ledd, vergemålsloven § 55;Fratakelse av oppdrag som verge for mindreårig – utredning og vurdering av «barnets beste»
24.09.2019;26.09.2019;SM-2019/1707;https://www.sivilombudsmannen.no/uttalelser/saksbehandlingstiden-ved-nav-arbeid-og-ytelser-i-uforesaker-bosatt-utland-undersokelse-av-eget-tiltak/;;Saksbehandlingstiden ved Nav Arbeid og ytelser i uføresaker bosatt utland – undersøkelse av eget tiltak
19.09.2019;26.09.2019;SM-2019/1262;https://www.sivilombudsmannen.no/uttalelser/saksbehandlingstid-for-forelopig-beregning-av-refusjon-adgang-til-a-stille-saken-i-bero/;plan- og bygningsloven § 18-8, plan- og bygningsloven § 18-9;Saksbehandlingstid for foreløpig beregning av refusjon – adgang til å stille saken i bero
12.09.2019;19.09.2019;SM-2018/4025;https://www.sivilombudsmannen.no/uttalelser/utlendingsnemdas-rettsanvendelse-i-sak-om-familieinnvandring/;utlendingsloven §, utlendingsloven § 43, utlendingsloven§ 28;Utlendingsnemdas rettsanvendelse i sak om familieinnvandring
